source,target,weight,label
n841,n695,0.95,knows
n900,n940,0.17,follows
n422,n320,0.72,follows
n146,n135,0.45,knows
n117,n130,0.36,follows
n319,n253,0.99,follows
n896,n928,0.22,knows
n915,n937,0.47,knows
n321,n289,0.65,follows
n239,n235,0.99,follows
n426,n301,0.72,knows
n318,n243,0.54,follows
n787,n767,0.78,follows
n127,n33,0.1,follows
n11,n38,0.37,follows
n725,n716,0.87,knows
n203,n234,0.35,knows
n609,n694,0.47,follows
n851,n989,0.47,follows
n878,n808,0.39,knows
n144,n147,0.71,knows
n875,n921,0.94,follows
n372,n235,0.89,knows
n879,n786,0.86,follows
n597,n621,0.92,follows
n342,n5,0.59,follows
n398,n438,0.61,follows
n588,n647,0.15,follows
n887,n744,0.61,follows
n520,n553,0.24,follows
n628,n586,0.83,knows
n414,n364,0.83,knows
n182,n234,0.39,knows
n719,n747,0.1,follows
n606,n459,0.07,follows
n337,n308,0.32,knows
n233,n158,0.33,knows
n368,n438,0.41,follows
n995,n1019,0.47,follows
n803,n648,0.28,follows
n154,n84,0.74,follows
n347,n471,0.42,follows
n581,n502,0.76,knows
n39,n65,0.44,knows
n5,n0,0.75,follows
n920,n944,0.26,knows
n505,n474,0.66,knows
n665,n694,0.54,follows
n32,n0,0.81,knows
n503,n578,0.11,follows
n168,n201,0.81,knows
n890,n940,0.44,knows
n99,n74,0.13,knows
n841,n847,0.72,follows
n558,n570,0.09,knows
n434,n513,0.33,knows
n293,n329,0.87,follows
n599,n569,0.6,follows
n297,n324,0.61,knows
n536,n575,0.31,follows
n415,n419,0.52,knows
n988,n941,0.02,knows
n236,n235,0.44,knows
n284,n299,0.94,follows
n317,n293,0.69,follows
n171,n87,0.13,follows
n835,n1037,0.63,knows
n332,n235,0.36,follows
n476,n474,0.36,follows
n105,n80,0.04,knows
n719,n695,0.86,knows
n907,n940,0.73,knows
n44,n79,0.08,knows
n271,n356,0.19,knows
n674,n657,0.92,follows
n779,n755,0.55,follows
n317,n423,0.29,follows
n612,n623,0.31,knows
n45,n4,0.1,knows
n712,n695,0.65,follows
n975,n962,0.1,knows
n805,n888,0.81,follows
n283,n235,0.9,knows
n927,n892,0.48,knows
n351,n355,0.9,knows
n590,n934,0.64,knows
n161,n234,0.96,knows
n539,n571,0.14,knows
n25,n0,0.65,follows
n860,n549,0.25,follows
n384,n473,0.67,knows
n924,n940,0.34,follows
n258,n235,0.62,knows
n305,n311,0.39,knows
n530,n311,0.12,knows
n134,n208,0.38,follows
n846,n931,0.83,follows
n167,n961,0.13,follows
n57,n113,0.43,knows
n864,n770,0.84,follows
n906,n855,0.65,follows
n111,n51,0.18,follows
n696,n695,0.51,follows
n357,n282,0.52,follows
n43,n0,0.04,follows
n964,n978,0.99,knows
n588,n523,0.78,knows
n625,n641,0.95,knows
n923,n933,0.05,follows
n955,n941,0.99,knows
n842,n503,0.54,knows
n103,n16,0.82,follows
n230,n234,0.55,knows
n278,n359,0.39,knows
n476,n474,0.93,follows
n781,n765,0.27,knows
n140,n707,0.45,follows
n61,n79,0.57,knows
n964,n941,0.81,knows
n18,n1018,0.73,knows
n132,n42,0.47,follows
n476,n474,0.12,follows
n576,n513,0.93,follows
n575,n644,0.24,follows
n18,n102,0.98,follows
n737,n818,0.44,knows
n767,n695,0.77,follows
n727,n695,0.49,follows
n207,n234,0.65,follows
n804,n784,0.74,knows
n245,n235,0.86,follows
n570,n597,0.38,follows
n203,n204,0.2,follows
n485,n541,0.43,knows
n456,n473,0.27,knows
n408,n376,0.32,knows
n759,n753,0.32,knows
n715,n695,0.98,follows
n187,n169,0.37,follows
n523,n588,0.18,follows
n617,n568,0.19,follows
n323,n379,0.83,follows
n918,n940,0.72,follows
n295,n330,1,follows
n164,n201,0.1,follows
n631,n605,0.65,follows
n644,n694,0.94,knows
n87,n142,0.85,follows
n106,n112,0.4,knows
n318,n349,0.98,follows
n921,n837,0.19,knows
n127,n144,0.36,knows
n958,n822,0.71,knows
n825,n922,0.46,knows
n494,n493,0.5,knows
n782,n773,0.69,follows
n163,n107,0.33,follows
n813,n887,0.59,follows
n495,n474,0.08,follows
n351,n273,0.45,knows
n430,n473,0.19,follows
n939,n940,0.42,follows
n37,n90,0.79,follows
n712,n695,0.01,knows
n473,n461,0.16,knows
n59,n0,0.84,follows
n335,n235,0.93,follows
n120,n172,0.4,follows
n936,n940,0.05,knows
n796,n735,0.4,follows
n743,n760,0.65,follows
n218,n211,0.02,follows
n96,n102,0.66,knows
n86,n74,0.4,follows
n631,n945,0.55,knows
n893,n863,0.27,knows
n869,n878,0.34,follows
n669,n580,0.79,follows
n710,n695,0.19,knows
n906,n908,0.11,follows
n587,n607,0.63,knows
n773,n695,0.61,follows
n574,n537,0.1,knows
n862,n752,0.7,follows
n707,n706,0.85,follows
n608,n515,0.29,knows
n434,n473,0.58,knows
n534,n587,0.71,knows
n478,n562,0.44,follows
n239,n235,0.54,knows
n279,n275,0.04,knows
n38,n1,0.88,knows
n627,n524,0.47,knows
n29,n8,0.55,follows
n174,n153,0.19,knows
n617,n532,0.08,follows
n455,n360,0.04,follows
n221,n234,0.46,knows
n272,n235,0.35,knows
n265,n242,0.33,knows
n584,n552,0.86,follows
n701,n721,0.82,follows
n323,n237,0.34,knows
n520,n531,0.12,knows
n885,n787,0.53,knows
n8,n0,0.72,follows
n958,n941,0.87,follows
n491,n515,0.91,knows
n332,n589,0.38,knows
n811,n758,0.51,follows
n852,n940,0.58,knows
n31,n102,0.28,follows
n491,n474,0.03,knows
n873,n837,0.99,knows
n498,n509,0.31,follows
n556,n917,0.35,knows
n165,n127,0.44,knows
n944,n941,0.73,knows
n832,n806,0.05,knows
n902,n940,0.01,follows
n970,n1005,0.42,follows
n743,n821,0.11,follows
n612,n644,0.03,follows
n213,n198,0.26,knows
n213,n234,0.19,knows
n683,n694,0.45,follows
n58,n37,0.22,follows
n55,n58,0.2,follows
n337,n374,0.72,follows
n991,n964,0.64,knows
n978,n966,0.03,knows
n682,n694,0.24,knows
n955,n941,0.18,follows
n370,n353,0.76,follows
n55,n76,0.61,follows
n91,n104,0.04,follows
n675,n643,0.82,follows
n860,n940,0.86,knows
n157,n154,0.12,follows
n414,n423,0.24,knows
n117,n206,0.03,knows
n629,n537,0.19,follows
n654,n622,0.32,knows
n340,n263,0.41,follows
n420,n434,0.99,follows
n512,n492,0.53,knows
n595,n664,0.26,follows
n494,n528,0.6,knows
n868,n695,0.72,knows
n182,n234,0.02,follows
n969,n994,0.76,knows
n864,n940,0.53,knows
n499,n474,0.18,knows
n125,n66,0.35,follows
n707,n695,0.31,follows
n522,n589,0.15,follows
n811,n805,0.05,knows
n408,n421,0.12,follows
n405,n338,0.73,follows
n853,n873,0.58,follows
n185,n234,0.08,knows
n455,n330,0.41,follows
n644,n514,0.81,follows
n124,n12,0.43,knows
n945,n976,0.87,follows
n685,n689,0.56,knows
n705,n695,0.75,follows
n855,n808,0.8,follows
n510,n514,0.09,follows
n403,n449,0.25,knows
n537,n543,0.29,knows
n841,n807,0.13,follows
n962,n941,0.07,knows
n638,n694,0.87,knows
n418,n896,0.77,knows
n17,n0,0.28,follows
n631,n581,0.81,knows
n457,n473,0.28,knows
n984,n53,0.79,knows
n285,n389,0.1,knows
n441,n273,0.28,knows
n228,n152,0.08,knows
n963,n964,0.58,knows
n949,n960,0.55,knows
n308,n235,0.6,knows
n535,n539,0.09,knows
n820,n814,0.2,follows
n886,n940,0.01,knows
n176,n198,0.99,knows
n219,n450,0.23,knows
n39,n47,0.69,follows
n568,n667,0.57,knows
n344,n348,0.7,follows
n726,n695,0.95,knows
n94,n234,0.75,follows
n744,n738,0.65,follows
n793,n770,0.11,follows
n933,n940,0.68,knows
n145,n203,0.91,knows
n762,n695,0.61,knows
n46,n0,0.78,knows
n652,n690,0.1,follows
n612,n694,0.61,follows
n303,n339,0.13,follows
n111,n70,0.6,follows
n242,n364,0.71,follows
n233,n234,0.78,follows
n811,n871,0.16,knows
n192,n199,0.01,follows
n506,n474,0.65,knows
n796,n1015,0.38,follows
n829,n897,0.62,follows
n171,n70,0.93,follows
n652,n694,0.23,knows
n581,n601,0.54,follows
n85,n766,0.07,knows
n995,n1009,0.99,knows
n982,n833,0.42,knows
n719,n695,0.22,follows
n823,n789,0.44,follows
n987,n1004,0.15,follows
n418,n424,0.87,knows
n896,n917,0.24,knows
n995,n963,0.38,follows
n297,n315,0.22,knows
n895,n874,0.02,follows
n991,n1011,0.33,follows
n970,n999,0.58,follows
n152,n91,0.2,follows
n271,n316,0.59,knows
n836,n881,0.74,follows
n293,n281,0.1,knows
n730,n1014,0.14,knows
n305,n297,0.98,knows
n449,n441,0.93,knows
n478,n515,0.45,follows
n980,n962,0.29,follows
n542,n580,0.42,knows
n597,n607,0.19,knows
n740,n695,0.95,follows
n500,n485,0.58,knows
n871,n710,0.79,knows
n414,n473,0.59,follows
n203,n224,0.66,knows
n638,n694,0.55,follows
n988,n991,0.75,knows
n634,n694,0.26,follows
n545,n506,0.48,knows
n389,n452,0.73,knows
n612,n386,0.78,knows
n685,n675,0.73,follows
n56,n0,0.21,knows
n531,n513,0.01,knows
n69,n143,0.73,knows
n110,n152,0.58,follows
n475,n508,0.29,knows
n124,n994,0.93,knows
n928,n842,0.91,follows
n116,n74,0.13,follows
n465,n410,0.33,knows
n551,n522,0.04,follows
n789,n839,0.33,knows
n940,n882,0.41,knows
n136,n20,0.74,follows
n955,n941,0.8,follows
n381,n406,0.59,follows
n288,n275,0.79,follows
n423,n403,0.23,follows
n250,n245,0.87,knows
n976,n1004,0.5,knows
n727,n709,0.22,follows
n651,n664,0.05,follows
n618,n687,0.09,knows
n770,n727,0.84,follows
n152,n150,0.83,follows
n545,n499,0.14,follows
n442,n473,0.78,knows
n824,n820,0.79,follows
n201,n234,0.53,follows
n139,n85,0.18,follows
n102,n28,0.57,follows
n806,n858,0.38,knows
n636,n694,0.48,knows
n487,n498,0.02,follows
n579,n594,0.49,knows
n977,n941,0.42,follows
n533,n515,0.44,knows
n32,n160,0.72,follows
n888,n929,0.55,knows
n784,n552,0.14,knows
n662,n618,0.76,knows
n387,n378,0.28,knows
n814,n812,0.19,follows
n855,n815,0.92,knows
n332,n346,0.3,follows
n824,n700,0.03,follows
n168,n75,0.37,knows
n260,n241,0.65,knows
n112,n472,0.93,knows
n16,n0,0.91,follows
n591,n694,0.5,knows
n175,n234,0.14,follows
n218,n182,0.07,follows
n620,n594,0.94,knows
n440,n473,0.15,knows
n186,n157,0.36,knows
n157,n95,0.84,follows
n937,n678,0.65,follows
n319,n380,0.62,knows
n6,n26,0.25,knows
n900,n891,0.14,follows
n861,n852,0.06,knows
n646,n575,0.17,follows
n232,n234,0.91,follows
n95,n309,0.89,knows
n349,n337,0.22,knows
n20,n94,0.81,follows
n158,n234,0.04,knows
n266,n330,0.67,knows
n601,n539,0.47,follows
n271,n339,0.02,follows
n933,n940,0.56,follows
n8,n117,0.33,knows
n592,n627,0.94,follows
n414,n473,0.31,follows
n620,n694,0.69,knows
n204,n233,0.23,follows
n715,n695,0.65,knows
n588,n531,0.68,knows
n427,n473,0.11,knows
n124,n29,0.31,knows
n481,n482,0.41,follows
n548,n644,0.43,follows
n325,n307,0.82,follows
n130,n79,0.78,knows
n966,n957,0.9,knows
n699,n695,0.71,follows
n286,n235,0.69,knows
n252,n235,0.63,knows
n176,n228,0.98,follows
n446,n463,0.05,follows
n802,n883,0.7,knows
n373,n352,0.79,knows
n27,n40,0.28,knows
n236,n300,0.01,follows
n49,n131,0.35,knows
n92,n18,0.74,knows
n803,n746,0.5,follows
n458,n362,0.04,follows
n261,n306,0.59,follows
n968,n941,0.1,follows
n466,n394,0.97,follows
n66,n79,0.26,follows
n11,n14,0.49,knows
n739,n695,0.16,knows
n3,n36,0.22,follows
n694,n677,0.28,knows
n71,n401,0.77,knows
n889,n870,0.83,follows
n642,n548,0.86,follows
n917,n908,0.98,knows
n977,n1009,0.83,follows
n320,n286,0.72,follows
n461,n473,0.71,knows
n723,n750,0.11,follows
n996,n963,0.48,knows
n906,n940,0.96,knows
n617,n544,0.4,knows
n574,n474,0.24,follows
n404,n359,0.23,follows
n578,n919,0.09,follows
n53,n42,0.03,follows
n414,n473,0.77,knows
n134,n109,0.55,follows
n815,n969,0.17,knows
n924,n815,0.94,knows
n185,n100,0.4,follows
n814,n797,0.24,knows
n785,n716,0.38,knows
n231,n234,0.39,follows
n862,n940,0.77,knows
n422,n444,0.98,knows
n443,n415,0.57,knows
n644,n592,0.19,knows
n18,n114,0.67,follows
n166,n222,0.27,knows
n578,n483,0.77,knows
n373,n420,0.45,knows
n882,n940,0.22,knows
n860,n903,0.26,follows
n997,n996,0.78,follows
n45,n43,0.54,knows
n851,n743,0.47,follows
n142,n90,0.52,follows
n667,n688,0.7,knows
n969,n966,0.2,follows
n61,n0,0.34,follows
n538,n642,0.28,follows
n883,n915,0.48,follows
n780,n754,0.07,follows
n438,n473,0.45,knows
n291,n375,0.6,knows
n627,n765,0.87,knows
n20,n0,0.58,follows
n343,n676,0.21,knows
n920,n935,0.57,knows
n504,n264,0.58,follows
n842,n855,0.16,follows
n675,n694,0.95,follows
n910,n887,0.5,knows
n85,n178,0.09,follows
n768,n712,0.26,follows
n473,n412,0.83,knows
n145,n215,0.4,knows
n829,n858,0.43,follows
n506,n521,0.06,follows
n125,n306,0.01,follows
n195,n175,0.39,knows
n112,n712,0.11,follows
n523,n474,0.68,knows
n374,n473,0.02,follows
n995,n985,0.08,knows
n648,n535,0.4,follows
n306,n928,0.72,knows
n634,n617,0.66,follows
n613,n640,0.85,follows
n596,n598,0.39,knows
n74,n64,0.36,knows
n734,n768,0.72,knows
n268,n288,0.64,follows
n254,n235,0.41,follows
n427,n434,0.91,knows
n929,n847,0.38,follows
n818,n773,0.46,follows
n500,n662,0.61,knows
n669,n565,0.87,knows
n238,n239,0.12,follows
n328,n261,0.52,follows
n90,n20,0.63,follows
n703,n720,0.42,follows
n787,n765,0.53,follows
n526,n548,0.61,knows
n30,n102,0.8,knows
n699,n825,0.23,follows
n497,n474,0.59,knows
n795,n759,0.16,knows
n18,n997,0.8,follows
n112,n91,0.62,knows
n123,n82,0.76,knows
n112,n149,0.28,knows
n317,n361,0.33,knows
n733,n718,0.44,follows
n38,n64,0.88,knows
n137,n195,0.99,knows
n938,n792,0.36,knows
n454,n473,0.7,knows
n935,n940,0.05,knows
n132,n116,0.38,knows
n913,n874,0.66,follows
n576,n600,0.64,follows
n628,n623,0.67,knows
n391,n382,0.48,knows
n363,n10,0.6,follows
n810,n741,0.3,knows
n298,n384,0.85,knows
n368,n416,0.37,knows
n219,n234,0.33,knows
n209,n181,0.98,knows
n456,n473,0.79,knows
n627,n589,0.43,knows
n793,n802,0.6,knows
n855,n874,0.44,follows
n84,n38,0.25,follows
n213,n129,0.54,follows
n491,n474,0.77,follows
n56,n0,0.6,follows
n983,n985,0.83,knows
n814,n750,0.03,follows
n74,n214,0.09,knows
n282,n423,0.67,follows
n640,n694,0.63,knows
n689,n694,0.69,follows
n126,n144,0.92,knows
n369,n437,0.22,knows
n124,n81,0.21,follows
n313,n372,0.21,knows
n726,n763,0.5,follows
n232,n234,0.91,follows
n470,n473,0.07,knows
n369,n288,0.56,knows
n506,n515,0.36,knows
n861,n807,0.51,follows
n487,n474,0.5,knows
n22,n200,0.27,knows
n87,n85,0.45,follows
n257,n350,0.49,follows
n247,n297,0.7,follows
n423,n304,0.61,knows
n83,n59,0.16,follows
n779,n806,0.8,knows
n764,n746,0.39,knows
n538,n512,0.71,knows
n686,n672,0.31,follows
n530,n565,0.94,follows
n287,n310,0.44,follows
n987,n946,0.02,follows
n360,n236,0.68,follows
n729,n1034,0.58,follows
n325,n235,0.51,follows
n48,n1033,0.29,follows
n976,n961,0.67,knows
n247,n244,0.33,knows
n455,n417,0.87,follows
n420,n349,0.57,knows
n690,n672,0.75,follows
n407,n389,0.39,knows
n492,n541,0.34,knows
n263,n235,0.49,follows
n513,n648,0.88,knows
n196,n395,0.26,knows
n560,n582,0.64,follows
n873,n856,0.29,knows
n402,n571,0.15,knows
n822,n841,0.47,follows
n871,n780,0.73,follows
n186,n234,0.9,knows
n163,n172,0.09,knows
n528,n574,0.04,knows
n991,n985,0.82,follows
n481,n474,0.21,follows
n129,n234,0.73,knows
n88,n507,0.46,knows
n646,n694,0.4,knows
n42,n157,0.72,follows
n432,n356,0.58,follows
n801,n933,0.7,knows
n57,n110,0.45,knows
n78,n80,0.43,knows
n700,n423,0.32,follows
n477,n474,0.37,knows
n598,n675,0.5,knows
n633,n593,0.58,knows
n366,n278,0.7,follows
n836,n761,0.06,follows
n592,n642,0.5,follows
n888,n772,0.87,knows
n380,n361,0.57,follows
n535,n585,0.19,follows
n304,n235,0.11,follows
n463,n466,0.31,follows
n353,n281,0.91,knows
n142,n165,0.74,follows
n164,n119,0.09,follows
n701,n809,0.84,follows
n600,n674,0.6,knows
n905,n940,0.11,knows
n54,n156,0.26,follows
n725,n695,0.73,follows
n779,n695,0.87,knows
n281,n235,0.04,follows
n57,n137,0.66,knows
n649,n684,0.88,knows
n213,n231,0.6,knows
n238,n235,0.37,follows
n809,n768,0.83,knows
n88,n396,0.59,knows
n517,n602,0.08,knows
n109,n114,0.52,knows
n579,n555,0.16,knows
n334,n373,0.26,knows
n501,n530,0.38,knows
n506,n474,0.52,follows
n994,n1040,0.74,follows
n866,n891,0.25,follows
n930,n936,0.41,knows
n715,n695,0.58,knows
n902,n940,0.93,knows
n441,n694,1,knows
n243,n268,0.53,follows
n79,n0,0.13,follows
n766,n711,0.27,follows
n1,n0,0.88,follows
n732,n756,0.07,follows
n887,n839,0.89,knows
n700,n695,0.05,follows
n799,n780,0.41,knows
n751,n982,0.28,follows
n247,n235,0.18,knows
n354,n248,0.35,follows
n153,n0,0.7,follows
n735,n695,0.1,follows
n148,n135,0.7,knows
n141,n140,0.58,follows
n513,n560,0.9,follows
n26,n0,0.67,follows
n296,n235,0.02,follows
n544,n602,0.75,follows
n707,n695,0.89,follows
n640,n683,0.1,knows
n548,n815,0.93,follows
n341,n292,0.41,knows
n899,n995,0.55,follows
n512,n530,0.23,knows
n297,n295,0.62,knows
n263,n318,0.04,knows
n987,n990,0.63,follows
n286,n235,0.39,knows
n78,n29,0.74,knows
n324,n369,0.51,knows
n722,n749,0.07,follows
n339,n424,0.81,follows
n957,n959,0.46,knows
n907,n940,0.43,knows
n633,n652,0.97,follows
n135,n196,0.69,knows
n299,n329,0.54,follows
n617,n556,0.62,follows
n850,n849,0.79,follows
n855,n940,0.84,knows
n166,n223,0.58,knows
n756,n725,0.9,knows
n37,n15,0.15,follows
n707,n705,0.08,knows
n54,n6,0.68,follows
n786,n766,0.43,knows
n227,n234,0.12,knows
n85,n177,0.26,follows
n674,n622,0.09,follows
n517,n474,0.95,follows
n75,n0,0.18,knows
n693,n694,0.69,follows
n285,n356,0.64,knows
n207,n113,0.5,knows
n74,n58,0.53,follows
n794,n695,0.18,knows
n395,n447,0.48,knows
n360,n287,0.85,knows
n680,n565,0.56,knows
n680,n676,0.56,knows
n921,n940,0.69,knows
n349,n530,0.31,follows
n611,n668,0.09,follows
n362,n460,0.75,follows
n365,n235,0.01,follows
n653,n694,0.7,follows
n832,n778,0.3,knows
n460,n473,0.64,knows
n547,n735,0.73,follows
n669,n683,0.25,knows
n717,n800,0.54,knows
n675,n694,0.42,knows
n727,n998,0.11,knows
n169,n234,0.91,knows
n252,n858,0.53,knows
n554,n589,0.22,follows
n60,n39,0.24,follows
n83,n71,0.87,follows
n165,n234,0.21,knows
n351,n360,0.5,knows
n987,n964,0.35,follows
n885,n790,0.83,follows
n535,n579,0.68,follows
n935,n749,0.11,follows
n645,n840,0.21,knows
